response_id,user_id,timestamp,work_interfere,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,comments
6890d7fb-5358-4035-84c2-ff90aa64e263,a1a3b2b6-3858-4c1e-866a-057140470352,2014-08-27 11:29:31,Often,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,
2a828b63-52cd-4496-8de7-0db7cbae43e2,57a2574c-df62-41d2-9b41-ab9b0c7181f7,2014-08-27 11:29:37,Rarely,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,
b75c0096-d3e4-4c39-95dd-dbdaf8195bc4,eab8bae7-b6e1-4a10-802b-efd37644898c,2014-08-27 11:29:44,Rarely,No,No,No,No,Don't know,Somewhat difficult,No,Yes,Yes,
44fd8e2a-030e-4328-913d-cf15832a0634,157e579c-7d4d-4cd9-b7a2-fa2497bbe802,2014-08-27 11:29:46,Often,No,Yes,No,No,No,Somewhat difficult,Yes,Some of them,No,
961281b2-653f-4362-b63e-50365cfdea14,fec4d016-50b1-46c9-946a-e8ae6e39b88d,2014-08-27 11:30:22,Never,Yes,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,
2258bec6-b6ec-43f4-8092-924884ebb601,7d87610f-7f8a-4da7-b81c-7ea8e065c066,2014-08-27 11:31:22,Sometimes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,
655bbbcf-5ad4-4ceb-8a12-3a923d92af7b,cc7adbdb-2bf5-4d26-858b-075572dbdee9,2014-08-27 11:31:50,Sometimes,No,No,No,No,No,Somewhat difficult,Maybe,Some of them,No,
9cd835ce-f6dd-4d62-9c09-ededf8ecbf12,8814e71a-190a-4311-9570-29337ee676dd,2014-08-27 11:32:05,Never,No,Yes,No,No,Yes,Don't know,No,No,No,
62def0d2-fe26-4274-ba54-361d84195ccf,69de95d9-1935-413f-a511-5cf1055dd7c6,2014-08-27 11:32:39,Sometimes,Yes,Yes,No,No,No,Very difficult,Maybe,Yes,Yes,
c392d0d9-8d71-460e-b7fe-8a31f1f85031,978626aa-3763-458e-96ee-1a53b16a8e58,2014-08-27 11:32:43,Never,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,
8dd7f6d4-42f1-446b-a669-183ee50b8a70,e43e3444-caf2-4bf3-b5e7-2bdea38a5ced,2014-08-27 11:32:44,Sometimes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,
7bc91862-bab4-4565-ba8e-c6a7de2489d6,d194816e-d05c-4057-9ba9-24253c03e31f,2014-08-27 11:32:49,Never,Don't know,Not sure,No,No,Don't know,Don't know,No,Yes,Yes,
e552fcd1-2083-4ffe-81c1-8b49dc627127,aeb63e0c-dc2d-462e-976a-9917420213cd,2014-08-27 11:33:23,Sometimes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,
fe2fbefe-2182-4349-b16c-16c0bb543614,35c1a413-29c8-4aa0-9240-96a0f71b8887,2014-08-27 11:33:26,Never,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.
39ef7626-9cf8-4f70-982c-fe1217b0a1bb,62827399-5a5c-4dfe-ad70-93afd99b1a13,2014-08-27 11:33:57,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,
07b9ce26-a67b-450d-9b12-0c97a33795ff,fef7f818-040b-42c5-9c3e-ca98b6f4384a,2014-08-27 11:34:00,Rarely,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Some of them,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. 
9cfae770-fb8d-4410-9007-59630b33a0b8,df5f1982-2e33-4961-89ee-c75968e73bdc,2014-08-27 11:34:20,Sometimes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,Some of them,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.
7fc55a53-9503-4d06-95fa-66c4a88481a5,e403ec5b-63d8-4a52-a4ff-eb31f2dda76e,2014-08-27 11:34:37,Sometimes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,
17ba114d-1e2d-493c-83c5-d3e930d1d54c,72e4a583-1808-4a83-b945-082f66a78904,2014-08-27 11:34:53,Sometimes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,Yes,Yes,
46bda666-3886-484c-9850-a06cc027d353,ec77a177-9915-4e34-84f1-2582a1dfc853,2014-08-27 11:35:08,,No,No,Yes,No,Yes,Somewhat easy,No,Some of them,Some of them,
0d30bc7e-1198-4e11-b1b6-0c769d1c14be,c999b95d-38f7-48f1-b109-3b5f0ee3d3c0,2014-08-27 11:35:12,Sometimes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,Some of them,Some of them,
fe524cc2-8639-4a82-8458-813e7b4b431f,a949220a-453c-4586-a772-24b81fd362bd,2014-08-27 11:35:24,Never,No,No,No,No,Yes,Somewhat difficult,No,Some of them,Some of them,
41ee5d07-2582-4597-9cd0-11fa40f38bd8,572ec4e2-9aa1-4e03-91e1-fa3ff62b652a,2014-08-27 11:35:48,Often,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,
d74a9ff2-fcde-4c7b-a3ca-ab9bc7ec523d,39ad8418-09bc-409f-95d1-40292b5f4dd4,2014-08-27 11:36:24,Never,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,
34292434-057e-44f3-9c29-fb8c3ab9484b,75f4daaf-ab0e-4ddb-ab46-c90555878488,2014-08-27 11:36:48,Rarely,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,Yes,Yes,Relatively new job. Ask again later
e525c0ad-7cdd-45d3-bdd8-f378d6712193,b98f22ea-2a75-469a-9ec3-7acd47a3c379,2014-08-27 11:37:08,Sometimes,Yes,Yes,No,Don't know,No,Very easy,Yes,Some of them,Yes,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better
092b54f1-e1f9-40ae-a5bb-6005b217e45b,d6f23c26-93e4-41ea-95c3-91b861dd6b00,2014-08-27 11:37:23,,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,
7e0927ba-e694-4411-a5a5-40e2ffc95495,9567bf49-d0af-465f-b1cd-553c48631e0d,2014-08-27 11:37:59,Rarely,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,
4f8685d4-77a2-42e7-9fab-a172d655d2bb,1531c688-9fd7-47fa-bef7-8d9b36bf1f3e,2014-08-27 11:38:12,Sometimes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,No,
6e49c0af-0d3c-42a3-8019-fa7ebcb5a60b,c24892c1-d76f-4a5d-aec0-0de17495f4b3,2014-08-27 11:38:18,Sometimes,No,No,No,No,Don't know,Very difficult,Yes,Some of them,No,
be92e5f3-59aa-402a-9475-1a5aa87e5475,218c1290-438c-42af-a4e2-dcb96c2ff1a0,2014-08-27 11:39:03,Never,No,No,No,No,Don't know,Don't know,Yes,Some of them,Some of them,
a4cbe072-5f64-4028-ba49-9c0c88aebb44,2582855e-d44d-448c-b7ee-68d2c22f4efd,2014-08-27 11:38:55,Rarely,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,
d46a9567-c776-4879-bdc9-3b7fe07d76e2,40764556-a31c-4b87-877e-0ebe20cfbdbc,2014-08-27 11:39:31,Sometimes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,Some of them,Yes,
3ac724bb-3853-497c-a56b-25afb5059456,ba73d570-0298-40f8-a5c8-81fa292b8409,2014-08-27 11:39:36,Sometimes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
83f7aa06-d259-4276-99a4-06d50045d561,42485064-5cb6-45f7-ac5b-dab9c4d35ab3,2014-08-27 11:40:51,Sometimes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,
d0a4dfc9-1a72-418d-b903-144de6542bd3,4ccd07f6-74cb-4728-b8a8-4d42be17e4b8,2014-08-27 11:41:17,Rarely,No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,
312d9f06-3b8c-4b83-a9cc-bb9bf1de0b6c,bfe58bac-d770-4203-88e4-f7ccd17df90b,2014-08-27 11:41:37,Rarely,No,No,No,No,Don't know,Very easy,Yes,Some of them,No,
c710f61b-257b-4dbf-bc86-6ab0dcb201c5,23a9d60a-34d1-4cd5-9ed0-273d8d28c9ad,2014-08-27 11:41:50,,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,
64df42b9-d6dd-4343-9395-b4675cab3cba,12a136d0-6c13-41cd-85ee-24cef5b4a5bc,2014-08-27 11:42:08,,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,
7357ca65-9575-44b7-8c9e-ea61956bee02,aa724f07-ed42-4c6a-b31c-843b42d3874e,2014-08-27 11:42:15,Rarely,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,
a574a3fe-2a00-4f83-b3a6-70e1b8dba9d7,588508e6-c74a-494a-819d-74cb5ff7bb4a,2014-08-27 11:42:25,Sometimes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,No,
c9f40c46-e28d-4856-9597-46d0ccadefe9,a53eecad-dc45-4aac-bc17-d9cf7b8f075a,2014-08-27 11:42:31,,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Some of them,No,
d9870224-6b7f-4472-8e0c-b53419b6a97a,49a286dc-7c94-404d-8a47-01773c389de3,2014-08-27 11:43:07,Sometimes,No,Yes,No,No,Yes,Very difficult,Maybe,Some of them,No,
